Sl.No.,Name of the Organization,Designation,Internship Stipend (Rs.P.M),"CTC
(Rs.In Lakhs)",Date of Results Announced,CSE,IT,CSE (AIML),AIML,AIDS,"CSE (IOT, CS&BCT)",ECE,EEE,MECH,CIVIL,CHEM,Bio- Tech
1,Infosys,Specialist Programmer Final Results HWI&Drive,,9.5,"04.06.2024,
17.10.2024 &
18.02.2025",5,3,0,6,3,1,NA,NA,NA,NA,NA,NA
2,Arcesium,CorpTech Ops Specialist,,7.0,19.06.2024,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,Intellipaat,Business Development Associate,25000,9.0,26.07.2024,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA
4,ServiceNow PPO,Associate Software QA Engineer,45000,33.0,05.08.2024,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA
5,Tejas Networks Ltd,Engineers R&D,30000,10.0,06.08.2024,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
6,Catalog,Software Developer,21000,25.0,10.08.2024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,UiPath Leading Business Automation Company,Product Support,50000,18.0,10.08.2024,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
8,Barclays + PPO,Software Engineer,75000,13.3,20.08.2024,9,1,1,0,0,0,NA,NA,NA,NA,NA,NA
9,Deloitte Tax  Drive & PPO,Tax & EAG,25000,7.6,"22.08.2024 &
06.09.2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Teachnook,Business Development Associate,30000,9.0,23.08.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Providence PPO,Software Engineer,45000,11.5,24.08.2024,2,1,0,1,2,1,NA,NA,NA,NA,NA,NA
12,Thomson Reuters,Business Analyst,30000,7.0,"27.08.2024 &
14.10.2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,JP Morgan Chase,Software Engineer,75000,19.8,"27.08.2024 &
30.08.2024",13,5,0,2,3,1,NA,NA,NA,NA,NA,NA
14,Goldman Sachs PPO,Engineering Analyst,120000,30.0,03.09.2024,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
15,ZeroCodeHR,Software Engineer,32000,9.0,03.09.2024,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
16,Logic Pursuits (2024 Batch),Data Analyst,,4.2,03.09.2024,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA
17,Schneider Electric,Graduate Engineer Trainee,,5.5,06.09.2024,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA
18,LTIMindtree (2024 Batch),Graduate Engineer Trainee,,4.1,"05.09.2024,
16.09.2024&
8.10.2024",2,8,0,1,2,4,2,3,0,0,0,1
19,Modak  Analytics,Data Engineer & Data Analytics,,4.0,"05.09.2024 &
14.11.2024",5,6,0,1,1,0,1,NA,NA,NA,NA,NA
20,CITCO (2024 Batch),Fund Services Analyst,,4.0,06.09.2024,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Oracle,Associate Software Developer,50000,19.7,13.09.2024,5,1,0,1,1,0,0,0,NA,NA,NA,NA
22,Oracle,Associate Support Engineer,50000,10.5,13.09.2024,0,2,0,0,1,0,1,0,NA,NA,NA,NA
23,Acmegrade,Business Development Associate,18000,6.0,20.09.2024,1,2,0,3,0,0,3,1,NA,NA,NA,NA
24,PayPal PPO,Software Engineer,100000,34.0,21.09.2024,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
25,Microsoft PPO,Software Engineer,125000,51.0,"21.09.2024 &
28.04.2025",1,0,0,0,1,0,NA,NA,NA,NA,NA,NA
26,Deloitte US India,Analyst - Product Engineering,,7.6,30.09.2024,4,6,0,2,4,0,0,0,NA,NA,NA,NA
27,ITC,Sales Trainee,,4.5,"04.10.2024 &
18.01.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Honeywell,Software Engineer,20000,8.0,07.10.2024,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
29,Cognida. ai.,Software Engineer,20000,7.0,08.10.2024,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
30,IBM,Software Engineer,40000,11.0,08.10.2024,1,0,0,0,0,0,0,0,0,0,0,0
31,Nuclear Power Corp P Ltd  (2024 Batch),"Scientific Officer ""C""",55000,6.8,09.10.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
32,Accolite,Software Engineer,20000,8.0,11.10.2024,2,0,0,1,0,0,0,0,NA,NA,NA,NA
33,Accenture,Adv. Associate Software Engineer,,6.5,10.10.2024,1,0,0,0,0,0,0,0,0,0,0,0
34,Accenture,Associate Software Engineer,,4.5,10.10.2024,33,20,4,7,18,5,10,2,0,0,0,0
35,Runo,Backend Developer,,6.0,16.10.2024,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
36,Asian Paints,Sales Trainee,,5.5,18.10.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,GAP Inc PPO,Software Engineer,35000,10.7,"25.10.2024 &
18.11.2024",0,3,1,1,0,0,0,NA,NA,NA,NA,NA
38,Infosys,System Engineer,,3.6,"26.10.2024 &
05.02.2025",7,8,4,1,4,4,8,3,1,0,0,1
39,Bank of America,Development Engineer,,6.5,"28.10.2024 &
06.01.2025",10,10,2,4,5,3,NA,NA,NA,NA,NA,NA
40,LTIMindtree,Graduate Engineer Trainee,,4.1,"30.10.2024,
19.10.2024,
30.11.2024,
16.12.2024 &
23.01.2025",22,23,8,8,6,8,13,2,0,3,1,2
41,ZAPCOM,Software Engineer,25000,6.0,07.10.2024,3,1,1,0,0,0,NA,NA,NA,NA,NA,NA
42,Straive (Gramener),Associate Data Science Engineer,,12.0,08.11.2024,4,0,0,0,2,2,NA,NA,NA,NA,NA,NA
43,IBM Consulting-CIC,Associate System Engineer,,4.8,11.11.2024,5,4,2,NA,2,0,0,0,NA,NA,NA,NA
44,HSBC Regular & PPO,Trainee Software Engineer,,9.0,"12.11.2024 &
25.11.2024",4,2,2,1,2,1,NA,NA,NA,NA,NA,NA
45,Franklin Templeton,Graduate Trainee Operations,,4.6,13.11.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Cognizant,GenC Role,,4.0,"19..11..2024,
02.12.2024,
03.01.2025 &
18.02.2025",7,4,3,3,5,1,2,1,2,1,0,1
47,Jaaji Technologies,Solution Delivery Engr,,3.2,26.11.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
48,Indiamart InterMESH Ltd,Executive – Sales & Service,,4.0,"26.11.2024 &
11.02.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,MRF Ltd,Front Line Sales,,6.7,04.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Silicon Labs  PPO,Software Engineer,40000,24.2,12.12.2024,0,0,0,0,0,1,1,NA,NA,NA,NA,NA
51,Silicon Labs  PPO,Qualilty Assurance,40000,16.8,13.12.2024,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
52,Sai Life Sciences Limited,Trainee SHSC,,3.0,13.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
53,Elenjical Solutions,Administrator,,4.5,13.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Kalvium,"Academic Mentor
Development",20000,5.0,"13.12.2024 &
02.01.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Salesfoce,Software Engineer,70000,40.0,16.12.2024,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
56,Accelerize360,Software Engineer,,12.0,17.12.2024,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA
57,Technip FMC,Associate Engineer,Revised on 21.03.2025,8.2,17.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
58,Metrics4 Analyst,Data Analyst,,5.8,26.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Biologix,"Project Support
Consultant",,3.0,28.12.2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
60,Cognizant,GenC Next Role,,6.8,03.01.2025,0,0,0,0,0,1,0,0,0,0,0,0
61,ARMIET,Asst Professor (CSE),,6.6,06.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,ARMIET,Asst Professor (ECE),,4.8,06.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Prodapt,Super Dream Role,,8.0,08.01.2025,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
64,Prodapt,Dream Role,,6.0,08.01.2025,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA
65,Prodapt,ASE Role,,4.0,08.01.2025,3,4,0,3,3,3,NA,NA,NA,NA,NA,NA
66,EPAM,Data Science &Software Engineer Role,25000,8.0,09.01.2025,5,4,6,2,8,1,NA,NA,NA,NA,NA,NA
67,Qualcomm,Software Engineer,45000,18.7,09.01.2025,6,1,0,0,0,3,NA,NA,NA,NA,NA,NA
68,Dexterity Edtech Pvt Ltd,Business Development,18000,6.0,10.01.2025,3,7,1,2,1,1,5,10,7,2,2,1
69,S&P Global,Software Engineer,,9.0,"15.01.2025,
06.02.2025 &
26.04.2025",2,2,2,1,0,0,NA,NA,NA,NA,NA,NA
70,Skill Dunia,Business Development Executive,25000,8.0,15.01.2025,4,3,0,0,3,3,8,5,5,2,1,1
71,Ninjacart (Apna),Graduate Trainee Operations,15000,7.0,15.01.2025,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
72,Insight Global (Evergreen),Software Engineer,30000,6.0,17.01.2025,2,2,0,0,0,0,2,NA,NA,NA,NA,NA
73,Launched,Business Development Executive1,32000,9.0,17.01.2025,0,0,0,0,0,0,0,0,0,0,0,0
74,Launched,Business Development Executive2,28000,6.0,17.01.2025,0,1,2,1,2,0,4,6,5,4,0,5
75,Smartwinnr,Software Developer,15000,5.0,18.01.2025,3,4,2,1,1,1,0,NA,NA,NA,NA,NA
76,Hind Rectifiers Ltd,Power Electronics Hardware Design,,4.0,21.01.2025,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA
77,PWC AC India,Associate Engineer,,6.0,"22.01.2025,
27.02.2025 &
30.04.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Bizauity,Software Engineer,,7.0,23.01.2025,2,1,0,0,1,0,1,0,0,0,0,0
79,HUL ET SC Make,Excutive Traineship,,11.0,"24.01.2025 &
01.04.2025",NA,NA,NA,NA,NA,NA,NA,0,2,NA,0,NA
80,Encora Innovation labs,Software Engineer,,7.0,"24.01.2025 ,
31.01.2025 &
12.03.2025",2,4,3,8,0,2,3,NA,NA,NA,NA,NA
81,Evernorth Health Services,Software Engineer,21000,6.0,27.01.2025,4,7,4,3,4,1,NA,NA,NA,NA,NA,NA
82,Inox Air Products Pvt Ltd,Trainee Engineers/ Maintenance,,6.8,29.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA
83,Medha Servo Drives,Engineer Trainee (R&D),,5.2,"31.01.2025,
12.03.2025 &
03.05.2025",NA,NA,NA,NA,NA,NA,2,0,6,NA,NA,NA
84,"Sabre Industries
(2024 Batch)",Graduate Engineer Trainee,,5.1,01.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Sabre Industries,Graduate Engineer Trainee,,5.1,01.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Aarvee Associates,Graduate Trainee,,4.2,01.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
97,Ryan,Tax Associate,,5.0,04.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Azista Industries Pvt Ltd,Marketing Executive,,4.5,14.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Godrej & Boyce (2024 Bacth),Graduate Engineer Trainee,40000,7.3,17.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
100,FacePrep,Associate Trainer,10000,3.2,18.02.2025,0,0,0,1,2,1,3,0,0,0,0,0
